"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18"
"1","symptoms-adhd","delay-walk","diet-preferences","stereotypies","hearing-behavioural","past-diet","test-metabolic","stereotypies","current-alcohol","high-pain","diet-preferences","delay-bladder-nocte","low-visual","past-tobacco","abnorm-coordination","abnorm-coordination","handed-right","symptoms-adhd"
"2","hearing-behavioural","delay-bowel-diem","diet-picky","abnorm-sensory","low-tactile","allergies","abnorm-gastro","handed-right","past-tobacco","symptoms-sleep","diet-carbohydrates","delay-bowel-nocte","low-acoustic","current-drugs","abnorm-sensory","delay-sit","low-acoustic","low-visual"
"3","symptoms-odd","delay-sit","diet-texture","sleep-interrupted","symptoms-ocd","gluten-free","test-other","low-tactile","current-tobacco","sleep-insomnia","diet-picky","delay-walk","abnorm-sensory","past-drugs","abnorm-gait","high-tactile","low-pain","abnorm-skin"
"4","allergies","delay-phrases","handed-right","low-acoustic","low-visual","abnorm-gastro","test-karyotype","symptoms-anxiety","past-alcohol","stereotypies","symptoms-ocd","delay-phrases","low-tactile","current-alcohol","symptoms-anxiety","delay-walk","low-tactile","hearing-assessment"
"5","vision","delay-bladder-diem","symptoms-ocd","symptoms-sleep","abnorm-sensory","casein-free","hearing-behavioural","low-acoustic","current-drugs","test-karyotype","diet-texture","hearing","high-pain","past-alcohol","symptoms-depression","hearing-baer","abnorm-skin","symptoms-odd"
"6","symptoms-sleep","test-other","abnorm-respiratory","symptoms-odd","infant-irritable","sleep-interrupted","stereotypies","abnorm-movement","past-drugs","symptoms-bpd","low-pain","abnorm-ear","past-hospital","current-tobacco","symptoms-odd","symptoms-ocd","diet-preferences","delay-words"
"7","low-acoustic","delay-words","diet-carbohydrates","low-visual","hearing-assessment","symptoms-sleep","diet-pica","abnorm-gastro","allergies","abnorm-ear-pe","symptoms-odd","diet-salt","hearing-assessment","hearing-assessment","diagnosis-adhd","sleep-insomnia","diet-sugar","sleep-insomnia"
"8","abnorm-genital","symptoms-bpd","abnorm-ear-pe","diagnosis-odd","sleep-fidgeting","diet-pica","symptoms-ocd","current-drugs","low-acoustic","sleep-interrupted","hearing","past-drugs","diet-picky","diet-sugar","handed-left","delay-roll","asthma","abnorm-sensory"
"9","sleep-terrors","delay-bowel-nocte","diet-salt","low-tactile","past-alcohol","dairy-free","sleep-insomnia","abnorm-coordination","sleep-terrors","abnorm-sensory","sleep-insomnia","handed-right","diet-salt","high-pain","hearing-assessment","abnorm-gait","past-drugs","abnorm-growth"
"10","abnorm-craniofacial","diet-salt","current-tobacco","low-pain","abnorm-ear","diet-sugar","symptoms-sleep","symptoms-odd","hearing-assessment","handed-right","asthma","delay-roll","diagnosis-adhd","high-acoustic","low-acoustic","diagnosis-adhd","vision","symptoms-anxiety"
"11","symptoms-anxiety","abnorm-gastro","hearing-behavioural","symptoms-depression","stereotypies","low-acoustic","seizures-other","delay-words","seizures-other","diet-pica","diagnosis-anxiety","abnorm-sensory","hearing-behavioural","stereotypies","delay-sit","infant-floppy","seizures-other","hearing-baer"
"12","abnorm-bone","sleep-insomnia","abnorm-sensory","abnorm-joint","symptoms-sleep","current-tobacco","delay-walk","infant-stiff","abnorm-joint","seizures-other","abnorm-teeth","test-karyotype","delay-walk","diet-preferences","past-hospital","diet-carbohydrates","allergies","abnorm-teeth"
"13","abnorm-heart","abnorm-gait","diagnosis-bmd","abnorm-genital","abnorm-skin","diet-salt","symptoms-adhd","abnorm-sensory","diet-salt","abnorm-teeth","abnorm-renal","abnorm-bone","asthma","abnorm-renal","diagnosis-anxiety","abnorm-eye","infant-lethargic","hearing-behavioural"
"14","seizures-febrile","low-pain","symptoms-anxiety","past-drugs","current-alcohol","asthma","abnorm-eye","delay-sit","symptoms-ocd","abnorm-bone","handed-left","abnorm-movement","symptoms-depression","diet-salt","low-visual","stereotypies","diet-texture","symptoms-sleep"
"15","asthma","high-pain","vision","diet-carbohydrates","endocrine-growth","abnorm-skin","abnorm-cerebral","diet-sugar","abnorm-heart","diagnosis-ocd","seizures-febrile","high-pain","hearing-baer","asthma","symptoms-sleep","diagnosis-sleep","abnorm-joint","abnorm-movement"
"16","abnorm-teeth","stereotypies","asthma","abnorm-ear","seizures-intractable","abnorm-movement","seizures-febrile","abnorm-joint","diagnosis-depression","abnorm-growth","infant-floppy","infant-stiff","abnorm-renal","low-acoustic","abnorm-teeth","delay-phrases","abnorm-ear","diagnosis-adhd"
